preset,seed,dest,budget,M,L_s,rel_out_err_median,rel_out_err_mean,signed_mass_median,abs_signed_mass_median,js_median,mixture_rel_err_median,abs_mass_common_median,beta_mean,beta_min,beta_max,clamp_hits,mass_target_mean,mass_target_std,needed_compensation_median,needed_compensation_spread,solver_residual,rank_upper_bound,beta_ideal_mass_preserving
am,42,2,32,16,256,0.8129900097846985,0.8647012710571289,-0.6563287973403931,0.6525351405143738,0.3353038430213928,0.682157576084137,0.16548818349838257,-2.708047389984131,-13.815510749816895,2.4449663162231445,8,4.117480278015137,1.0591862201690674,1.995299220085144,1.6167767540343803,0.026962580159306526,16,2.0794415416798357
am_over_m,42,2,32,16,256,0.5493987202644348,0.5954450964927673,-0.5596605539321899,0.556779146194458,0.2276083528995514,0.5996076464653015,0.57383131980896,-2.708047389984131,-13.815510749816895,2.4449663162231445,8,4.117480278015137,1.0591862201690674,1.995299220085144,1.6167767540343803,0.026962580159306526,16,2.0794415416798357
am_logfit,42,2,32,16,256,0.739815890789032,0.8214983344078064,-0.712620198726654,0.70448899269104,0.3255874812602997,0.6680557131767273,0.1319500356912613,0.24455448985099792,-3.5928399562835693,2.772080898284912,0,4.117480278015137,1.0591862201690674,1.995299220085144,1.6167767540343803,9.023093383575542e-11,16,2.0794415416798357
am_scalar,42,2,32,16,256,0.5489524006843567,0.5635139346122742,-0.499200701713562,0.4973390996456146,0.21429654955863953,0.48340117931365967,0.09633862227201462,0.7309268712997437,0.7309268116950989,0.7309268116950989,0,4.117480278015137,1.0591862201690674,1.995299220085144,1.6167767540343803,0.02985847368836403,16,2.0794415416798357
am_nobeta,42,2,32,16,256,0.5489556789398193,0.5635141134262085,-0.499200701713562,0.4973389506340027,0.21429654955863953,0.5553081035614014,0.4973389506340027,0.0,0.0,0.0,0,4.117480278015137,1.0591862201690674,1.995299220085144,1.6167767540343803,0.026962580159306526,16,2.0794415416798357
legacy,43,0,8,16,256,1.0654642581939697,1.0704880952835083,-0.8319482207298279,0.8223477005958557,0.39397916197776794,1.1756058931350708,2.075836181640625,1.9088258743286133,1.2067532539367676,3.4317467212677,0,1.0,8.56870769894158e-08,0.002879675943404436,7.2595962764157544,1796105984.0,8,3.4657359027997265
legacy_fixed_solver,43,0,8,16,256,1.0363582372665405,1.1250454187393188,-0.7793703079223633,0.7651057243347168,0.46112799644470215,1.4691036939620972,0.99940025806427,-7.691136360168457,-13.815510749816895,-4.3683929443359375,2,1.0,8.56870769894158e-08,0.002879675943404436,7.2595962764157544,1.1450040340423584,8,3.4657359027997265
shift,43,0,8,16,256,0.6678457856178284,0.6882001757621765,-0.735414445400238,0.7263593077659607,0.3713419437408447,0.9283596277236938,0.8408457636833191,-7.690114974975586,-13.815510749816895,-4.367417335510254,2,1.0,8.56870769894158e-08,0.002879675943404436,7.2595962764157544,1.1450141668319702,8,3.4657359027997265
am,43,0,8,16,256,0.6284345984458923,0.6754834651947021,-0.7539187073707581,0.7510150671005249,0.41829705238342285,0.5349805355072021,0.20652081072330475,-0.6323896646499634,-13.815510749816895,2.6635544300079346,1,1.9708975553512573,0.6761950850486755,3.5925028324127197,3.07473986629548,1.7448824644088745,8,3.4657359027997265
am_over_m,43,0,8,16,256,0.6653419137001038,0.7015368938446045,-0.7305813431739807,0.7287852168083191,0.3710692524909973,0.7554246187210083,0.7365146279335022,-0.6323896646499634,-13.815510749816895,2.6635544300079346,1,1.9708975553512573,0.6761950850486755,3.5925028324127197,3.07473986629548,1.7448824644088745,8,3.4657359027997265
