seed,focus_strength,budget,nominal_compression_ratio,projection_dim,reference_projection_dim,M,n_fit_queries,n_eval_queries,selection_jaccard_vs_noprojection,selection_jaccard_vs_max_dp,jl_distortion_mean,jl_distortion_p95,nearest_repr_dist_median,nearest_eval_dist_median,coverage_ratio,coverage_frac_within_radius,eps_mass_abscommon_median,eps_mass_abscommon_mean,eps_out_rel_median,eps_out_rel_mean
44,0.0,32,0.125,8,64,32,48,48,0.5609756097560976,0.4883720930232558,0.20288094702627826,0.4915995014617762,5.8999469805370195,5.928398505771789,0.9952008075691833,0.5208333333333334,0.22028169365795414,0.2531900084287538,0.8752756510621542,0.9363083048291654
44,0.0,32,0.125,16,64,32,48,48,0.45454545454545453,0.4883720930232558,0.1382168959537272,0.3487929223862236,5.914080894141691,5.928398505771789,0.9975849107280563,0.5,0.2863071391864285,0.29738072635868634,0.8452716743482607,0.8609261233977409
44,0.0,32,0.125,32,64,32,48,48,0.45454545454545453,0.6842105263157895,0.10205292717987968,0.25143879937143243,6.070612828124248,5.928398505771789,1.0239886576809871,0.3125,0.2582070168874771,0.27775703873529184,0.8381061317666342,0.8694638262705476
44,0.0,32,0.125,64,64,32,48,48,0.5609756097560976,1.0,0.06967764516733385,0.16882368910186418,6.062474723118611,5.928398505771789,1.0226159252309481,0.3958333333333333,0.27474334609396184,0.2771138964542473,0.9107496391306015,0.9184564702802431
44,0.0,32,0.125,,64,32,48,48,1.0,,0.0,0.0,6.079767813109818,5.928398505771789,1.0255329170583982,0.3958333333333333,,,,
44,0.0,64,0.25,4,64,32,48,48,0.45454545454545453,0.5609756097560976,0.2778658969579374,0.7157429505415553,5.941706145046396,5.928398505771789,1.0022447275196915,0.4583333333333333,0.17916502669205525,0.1819983602268818,0.793420124110104,0.7938902609168638
44,0.0,64,0.25,8,64,32,48,48,0.5609756097560976,0.4883720930232558,0.20288094702627826,0.4915995014617762,5.8999469805370195,5.928398505771789,0.9952008075691833,0.5208333333333334,0.1523898129464628,0.16530452856871042,0.7585157883049641,0.799038353887636
44,0.0,64,0.25,16,64,32,48,48,0.45454545454545453,0.4883720930232558,0.1382168959537272,0.3487929223862236,5.914080894141691,5.928398505771789,0.9975849107280563,0.5,0.151235255499361,0.1605838519699223,0.768967600552251,0.7787166629871777
44,0.0,64,0.25,32,64,32,48,48,0.45454545454545453,0.6842105263157895,0.10205292717987968,0.25143879937143243,6.070612828124248,5.928398505771789,1.0239886576809871,0.3125,0.17247821592766907,0.18266927117483336,0.7552555872357648,0.8170456436512424
44,0.0,64,0.25,64,64,32,48,48,0.5609756097560976,1.0,0.06967764516733385,0.16882368910186418,6.062474723118611,5.928398505771789,1.0226159252309481,0.3958333333333333,0.1733518639186407,0.19257602870248158,0.826953870169556,0.84905647139701
44,0.0,64,0.25,,64,32,48,48,1.0,,0.0,0.0,6.079767813109818,5.928398505771789,1.0255329170583982,0.3958333333333333,,,,
44,8.0,16,0.0625,4,64,32,48,48,0.5238095238095238,0.5238095238095238,0.2778658969579374,0.7157429505415553,6.062474723118615,5.928398505771787,1.022615925230949,0.375,0.19711986595876874,0.2100635995410969,0.471233182431192,0.49994266318595354
44,8.0,16,0.0625,8,64,32,48,48,0.6,0.6410256410256411,0.20288094702627824,0.491599501461776,6.139968241129662,5.928398505771787,1.0356875023078929,0.3125,0.2228998462082914,0.24830206294940294,0.49060346514106884,0.5028972694603767
44,8.0,16,0.0625,16,64,32,48,48,0.6410256410256411,0.6410256410256411,0.13821689595372716,0.3487929223862236,6.2280915413351945,5.928398505771787,1.0505521069932429,0.3125,0.17385959516866376,0.2590145552408822,0.5038136761833255,0.5162865760829966
44,8.0,16,0.0625,32,64,32,48,48,0.7297297297297297,0.8823529411764706,0.10205292717987967,0.25143879937143176,6.157842046655226,5.928398505771787,1.038702449010305,0.2916666666666667,0.1864616393525699,0.22535910045681976,0.4782506905828644,0.501167790736662
44,8.0,16,0.0625,64,64,32,48,48,0.7777777777777778,1.0,0.06967764516733381,0.16882368910186352,6.355658117705415,5.928398505771787,1.0720699884659548,0.20833333333333334,0.21288116537175233,0.263854811563707,0.5200477560630832,0.5349928006755138
44,8.0,16,0.0625,,64,32,48,48,1.0,,0.0,0.0,6.382810349525377,5.928398505771787,1.076650016578694,0.16666666666666666,,,,
44,8.0,32,0.125,4,64,32,48,48,0.5238095238095238,0.5238095238095238,0.2778658969579374,0.7157429505415553,6.062474723118615,5.928398505771787,1.022615925230949,0.375,0.1318051476190674,0.14567085405845734,0.4724650865815855,0.47567929082843446
44,8.0,32,0.125,8,64,32,48,48,0.6,0.6410256410256411,0.20288094702627824,0.491599501461776,6.139968241129662,5.928398505771787,1.0356875023078929,0.3125,0.12120575167503242,0.13821429575456098,0.4254876561037504,0.4385151760375723
44,8.0,32,0.125,16,64,32,48,48,0.6410256410256411,0.6410256410256411,0.13821689595372716,0.3487929223862236,6.2280915413351945,5.928398505771787,1.0505521069932429,0.3125,0.11419138061704023,0.1529130164135627,0.4630325662598345,0.48095618220457975
44,8.0,32,0.125,32,64,32,48,48,0.7297297297297297,0.8823529411764706,0.10205292717987967,0.25143879937143176,6.157842046655226,5.928398505771787,1.038702449010305,0.2916666666666667,0.12001493397706,0.14313859352182215,0.46329116080805743,0.4835810785988008
44,8.0,32,0.125,64,64,32,48,48,0.7777777777777778,1.0,0.06967764516733381,0.16882368910186352,6.355658117705415,5.928398505771787,1.0720699884659548,0.20833333333333334,0.12265156073486845,0.12552270900279133,0.45415477302556395,0.4617867827994015
44,8.0,32,0.125,,64,32,48,48,1.0,,0.0,0.0,6.382810349525377,5.928398505771787,1.076650016578694,0.16666666666666666,,,,
44,8.0,64,0.25,4,64,32,48,48,0.5238095238095238,0.5238095238095238,0.2778658969579374,0.7157429505415553,6.062474723118615,5.928398505771787,1.022615925230949,0.375,0.06543516842211326,0.07960246532767569,0.4009420516867583,0.39365225770217
44,8.0,64,0.25,8,64,32,48,48,0.6,0.6410256410256411,0.20288094702627824,0.491599501461776,6.139968241129662,5.928398505771787,1.0356875023078929,0.3125,0.055785142275318805,0.09198462342383452,0.38035304158326483,0.38400513030619615
44,8.0,64,0.25,16,64,32,48,48,0.6410256410256411,0.6410256410256411,0.13821689595372716,0.3487929223862236,6.2280915413351945,5.928398505771787,1.0505521069932429,0.3125,0.07898614406740467,0.09734287676470084,0.37795071904766836,0.3926674943232387
44,8.0,64,0.25,32,64,32,48,48,0.7297297297297297,0.8823529411764706,0.10205292717987967,0.25143879937143176,6.157842046655226,5.928398505771787,1.038702449010305,0.2916666666666667,0.076730911336274,0.09183416202715837,0.38699088505919776,0.39340624604751845
44,8.0,64,0.25,64,64,32,48,48,0.7777777777777778,1.0,0.06967764516733381,0.16882368910186352,6.355658117705415,5.928398505771787,1.0720699884659548,0.20833333333333334,0.05635661259321535,0.07634927561099629,0.37250680082210713,0.389347952212076
44,8.0,64,0.25,,64,32,48,48,1.0,,0.0,0.0,6.382810349525377,5.928398505771787,1.076650016578694,0.16666666666666666,,,,
45,0.0,16,0.0625,4,64,32,48,48,0.4883720930232558,0.4883720930232558,0.25761890646866853,0.6136541137206324,6.310271922412832,6.1310512890178,1.0292316317292973,0.3958333333333333,0.41156104797800075,0.4234482725478266,0.6992327651734348,0.7062838120458238
45,0.0,16,0.0625,8,64,32,48,48,0.45454545454545453,0.5238095238095238,0.17021876404708727,0.4143876894139088,6.310271922412832,6.1310512890178,1.0292316317292973,0.375,0.39747848471180885,0.4354429225202557,0.7104359263462232,0.738262059900033
